CODE,COUNTRY,DATE,HDI,TC,TD,STI,POP,GDPCAP,CONTINENT
FJI,Fiji,2020-10-12,0.741,3.465735903,0.693147181,3.814851094,13.7061911,9.0714202,OC
FIN,Finland,2020-10-10,0.92,9.357034751,5.846438775,3.478467017,15.52763465,10.61117158,EU
FRA,France,2020-10-09,0.901,13.41747478,10.38964131,3.845028137,17.99409688,10.56115446,EU
GAB,Gabon,2020-10-15,0.702,9.090317329,3.988984047,4.305010592,14.61559461,9.71489113,AF
GMB,Gambia,2020-10-18,0.46,8.202208436,4.770684624,4.097506226,14.69789863,7.353573152,AF
GEO,Georgia,2020-10-17,0.78,9.637371258,4.820281566,4.112675519,15.199095,9.184517719,AS
DEU,Germany,2020-10-05,0.936,12.61359896,9.162619636,3.845028137,18.24375196,10.71949917,EU
GHA,Ghana,2020-10-08,0.592,10.75425795,5.713732806,3.794139965,17.25184806,8.349396831,AF
GRC,Greece,2020-10-11,0.87,10.00233692,6.077642243,3.845028137,16.15953083,10.1094598,EU
GTM,Guatemala,2020-10-13,0.65,11.49094567,8.127699853,3.740760076,16.70118056,8.912447412,NA
GIN,Guinea,2020-10-14,0.459,9.317758769,4.248495242,3.874321138,16.39062287,7.600365315,AF
GUY,Guyana,2020-10-13,0.654,8.166500319,4.644390899,4.371597439,13.57542301,8.91396018,SA
HTI,Haiti,2020-10-12,0.498,9.091782036,5.438079309,3.773220603,16.24934608,7.410451751,NA
HND,Honduras,2020-10-14,0.617,11.34866384,7.835183755,4.433907257,16.10851066,8.421077587,NA
HUN,Hungary,2020-10-11,0.838,10.53646001,6.860663671,3.707210411,16.08354044,10.19531954,EU
ISL,Iceland,2020-10-15,0.935,8.231376046,2.302585093,3.533978493,12.74037063,10.74684103,EU
IND,India,2020-10-13,0.64,15.78623596,11.6069257,4.298780886,21.04535251,8.768212421,AS
IDN,Indonesia,2020-10-09,0.694,12.67783722,9.357034751,4.233816608,19.42689854,9.322663552,AS
IRN,Iran,2020-10-19,0.798,13.18134901,10.32137518,4.157162855,18.24624346,9.856533252,AS
IRQ,Iraq,2020-10-19,0.685,12.96368178,9.235423152,4.365643155,17.50993717,9.659119471,AS
IRL,Ireland,2020-10-19,0.938,10.819018,7.524021415,4.120174739,15.41242964,11.11743979,EU
ISR,Israel,2020-10-19,0.903,12.62427627,7.700295203,4.444884056,15.97371025,10.40826452,AS
ITA,Italy,2020-10-19,0.88,12.93420321,10.50624493,3.948354935,17.91752278,10.46937177,EU
JAM,Jamaica,2020-10-19,0.732,9.020873347,5.141663557,4.266896327,14.90109198,9.011105101,NA
JPN,Japan,2020-10-19,0.909,11.44171943,7.422971251,3.449352424,18.65556675,10.57137392,AS
JOR,Jordan,2020-10-19,0.735,10.53404099,5.843544417,4.365643155,16.13820607,9.028517491,AS
KAZ,Kazakhstan,2020-10-19,0.8,11.88774578,7.673223121,4.365643155,16.74812767,10.0881226,AS
KEN,Kenya,2020-10-19,0.59,10.71176982,6.723832441,4.171459912,17.80025043,8.004040863,AF
KWT,Kuwait,2020-10-19,0.803,11.6626033,6.552507887,4.142499604,15.26725623,11.09027153,AS
KGZ,Kyrgyzstan,2020-10-19,0.672,10.86906356,7.01301579,4.206631038,15.69102752,8.129609454,AS
LVA,Latvia,2020-10-19,0.847,8.14612951,3.784189634,3.419691964,14.45007584,10.12918169,EU
LBN,Lebanon,2020-10-19,0.757,11.03949196,6.253828812,4.081934542,15.73616766,9.500586529,AS
LSO,Lesotho,2020-10-19,0.52,7.513709248,3.737669618,3.983413002,14.57736817,7.955478753,AF
LBR,Liberia,2020-10-19,0.435,7.227662499,4.406719247,4.050218504,15.43641784,6.623783648,AF
LBY,Libya,2020-10-19,0.706,10.79528065,6.586171655,4.389002248,15.74286198,9.791522441,AF
LTU,Lithuania,2020-10-11,0.858,8.693328989,4.634728988,3.883829271,14.81698436,10.29296775,EU
LUX,Luxembourg,2020-10-19,0.904,9.272939514,4.890349128,3.773220603,13.34706731,11.45400277,EU
MDG,Madagascar,2020-10-12,0.519,9.724241262,5.468060141,3.707210411,17.13661869,7.25590196,AF
MWI,Malawi,2020-10-12,0.477,8.669227347,5.192956851,4.000583182,16.76676599,6.998547998,AF
